remarks,current_cin,to_delete,replace,cin_1,company_name_1,cin_2,company_name_2,cin_3,company_name_3
Company Names aren't Matching,CIN-2,U74899DL2001PLC111527,,U74899DL2001PLC111527,BSES RAJDHANI POWER,U40109DL2001PLC111527,BSES RAJDHANI POWER LIMITED,,
Company Names aren't Matching,CIN-2,U24117AP1997PTC026555,,U24117AP1997PTC026555,MEDICARE ENVIRONMENTAL MANAGEMENT,U24117TG1997PTC026555,MEDICARE ENVIRONMENTAL MANAGEMENT PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1994PTC062385,,U74899DL1994PTC062385,BEST SELLER UNITED INDIA,U74899MH1994PTC289313,BEST SELLER UNITED INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U65910PN1990PLC057017,,U65910PN1990PLC057017,ELECTRONICA FINANCE,U74110PN1990PLC057017,ELECTRONICA FINANCE LIMITED,,
Company Names aren't Matching,CIN-2,U50404MH1988PTC048986,,U50404MH1988PTC048986,VEE TEE AUTO MANUFACTURING COMPANY,U40100MH1988PTC048986,VEE TEE AUTO MANUFACTURING COMPANY PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U73100TN2013PTC090981,,U73100TN2013PTC090981,GREEN PEARL EDUCATION MANAGEMENT CORPORATION PRIVATE LIMITED,U80301TN2013PTC090981,GREEN PEARL EDUCATION MANAGEMENTCORPORATION PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U21012TG2004PTC043887,,U21012TG2004PTC043887,DEEVYA SHAKTI PAPER MILLS,U45200TG2004PTC043887,DEEVYA SHAKTI PAPER MILLS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U31409KA2008PTC047239,,U31409KA2008PTC047239,SOGEFI - MNR ENGINE SYSTEMS INDIA PRIVATE LIMITED,U31409PN2008PTC207542,SOGEFI ENGINE SYSTEMS INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U24240MH2003PTC138490,,U24240MH2003PTC138490,MAKSON INDUSTRIES,U24240MP2003PTC035109,MAKSON INDUSTRIES PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U72200CH2004PTC026935,,U72200CH2004PTC026935,WSP CONSULTANTS INDIA,U72200UP2004PTC146086,WSP CONSULTANTS INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U65923MH1993PTC072538,,U65923MH1993PTC072538,TANNA AGRO IMPEX,U15100MH1993PTC072538,TANNA AGRO IMPEX PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L74899DL1995PLC067827,,L74899DL1995PLC067827,PVR,L74899MH1995PLC387971,PVR LIMITED,,
Company Names aren't Matching,CIN-2,U65992AP1981PTC003018,,U65992AP1981PTC003018,KAPIL CONSULTANCY SERVICES,U65992TG1981PTC003018,KAPIL CONSULTANCY SERVICES PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U24249KL1993PTC007092,,U24249KL1993PTC007092,AKAY FLAVOURS AND AROMATICS PVT LTD,U15400KL2010PTC025510,AKAY NATURAL INGREDIENTS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U67120WB1994PLC065927,,U67120WB1994PLC065927,GRD SECURITIES,U67120WB1994PLC224302,GRD SECURITIES LIMITED,,
Company Names aren't Matching,CIN-2,U74140HR2009PTC039673,,U74140HR2009PTC039673,A. P. T. PORTFOLIO PRIVATE LIMITED,U74140GJ2009PTC121607,A. P. T. RESEARCH PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L01120AP1986PLC006728,,L01120AP1986PLC006728,KAVERI SEED COMPANY,L01120TG1986PLC006728,KAVERI SEED COMPANY LTD.,,
Company Names aren't Matching,CIN-2,U29253WB2012PTC182473,,U29253WB2012PTC182473,KYOCERA CTC PRECISION TOOLS PRIVATE LIMITED,U29253JH2012PTC022317,KYOCERA PRECISION TOOLS INDIA PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74140TG2003PTC041636,,U74140TG2003PTC041636,KARVY COMPUTERSHARE,U72400TG2003PTC041636,KARVY COMPUTERSHARE PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,U74899DL1992PLC050587,,U74899DL1992PLC050587,AYURVET,U74899GJ1992PLC150192,AYURVET LIMITED,,
Company Names aren't Matching,CIN-2,U65921PB1979PTC004037,,U65921PB1979PTC004037,BAHADUR CHAND INVESTMENTS,U65921DL1979PTC331322,BAHADUR CHAND INVESTMENTS PRIVATE LIMITED,,
Company Names aren't Matching,CIN-2,L21010MH1992PLC069527,,L21010MH1992PLC069527,METROGLOBAL,L21010GJ1992PLC143784,METROGLOBAL LIMITED,,
Company Names aren't Matching,CIN-2,U51101KA1972PTC00246,,U51101KA1972PTC00246,AMRUT DISTILLERIES,U51101KA1972PTC002246,AMRUT DISTILLERIES PRIVATE LIMITED,,
